PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Alperen Sengun,HOU,24,24,776,192,54,106,50.9,27,40,67.5,139,72.4,48,25.0,17,8.9,14,7.3,20,10.4
Amen Thompson,HOU,26,26,861,217,38,89,42.7,19,28,67.9,98,45.2,89,41.0,19,8.8,21,9.7,14,6.5
Cam Whitmore,HOU,21,21,412,64,10,38,26.3,5,6,83.3,25,39.1,16,25.0,3,4.7,5,7.8,3,4.7
David Roddy,HOU,24,24,309,74,20,33,60.6,10,12,83.3,51,68.9,28,37.8,7,9.5,6,8.1,6,8.1
Dillon Brooks,HOU,26,26,810,107,26,67,38.8,14,16,87.5,69,64.5,22,20.6,8,7.5,10,9.3,8,7.5
Fred VanVleet,HOU,19,19,666,151,19,47,40.4,11,14,78.6,52,34.4,88,58.3,15,9.9,3,2.0,7,4.6
Jabari Smith Jr.,HOU,17,17,520,31,10,20,50.0,6,6,100.0,26,83.9,7,22.6,2,6.5,1,3.2,3,9.7
Jack McVeigh,HOU,4,4,28,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Jae'Sean Tate,HOU,14,14,169,29,5,14,35.7,2,2,100.0,13,44.8,11,37.9,1,3.4,1,3.4,1,3.4
Jalen Green,HOU,30,30,970,331,75,170,44.1,45,52,86.5,199,60.1,99,29.9,17,5.1,22,6.6,26,7.9
Jeff Green,HOU,12,12,181,9,5,6,83.3,2,2,100.0,12,133.3,2,22.2,0,0.0,0,0.0,1,11.1
Jock Landale,HOU,16,16,217,4,2,2,100.0,0,0,0.0,5,125.0,2,50.0,1,25.0,0,0.0,0,0.0
Nate Williams,HOU,6,6,98,29,11,21,52.4,2,2,100.0,24,82.8,3,10.3,1,3.4,3,10.3,1,3.4
Reed Sheppard,HOU,22,22,325,47,13,28,46.4,0,0,0.0,26,55.3,14,29.8,3,6.4,5,10.6,0,0.0
Steven Adams,HOU,20,20,286,7,1,4,25.0,0,0,0.0,2,28.6,2,28.6,2,28.6,1,14.3,0,0.0
Tari Eason,HOU,21,21,514,91,23,52,44.2,4,6,66.7,51,56.0,24,26.4,5,5.5,11,12.1,3,3.3
Aaron Nesmith,IND,16,16,396,58,17,31,54.8,6,6,100.0,43,74.1,20,34.5,4,6.9,2,3.4,3,5.2
Andrew Nembhard,IND,21,21,598,214,34,65,52.3,27,30,90.0,98,45.8,109,50.9,18,8.4,17,7.9,15,7.0
Ben Sheppard,IND,23,23,483,21,6,14,42.9,0,0,0.0,13,61.9,5,23.8,1,4.8,2,9.5,0,0.0
Bennedict Mathurin,IND,29,29,867,230,53,117,45.3,42,52,80.8,151,65.7,60,26.1,8,3.5,19,8.3,26,11.3
Cole Swider,IND,5,5,63,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Enrique Freeman,IND,15,15,112,5,2,3,66.7,0,0,0.0,4,80.0,1,20.0,0,0.0,1,20.0,0,0.0
Isaiah Jackson,IND,4,4,59,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
