PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,GP_Per36,W_Per36,DRIVES_Per36,FGM_Per36,FGA_Per36,FG%_Per36,FTM_Per36,FTA_Per36,FT%_Per36,PTS_Per36,PTS%_Per36,PASS_Per36,PASS%_Per36,AST_Per36,AST%_Per36,TO_Per36,TOV%_Per36,PF_Per36,PF%_Per36
Miles Norris,BOS,2,2,16,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neemias Queta,BOS,46,46,652,17,5,9,55.6,2,2,100.0,12,70.6,6,35.3,1,5.9,0,0.0,1,5.9,2.539877300613497,2.539877300613497,0.9386503067484662,0.27607361963190186,0.49693251533742333,3.0699386503067485,0.11042944785276074,0.11042944785276074,5.521472392638037,0.6625766871165645,3.8981595092024532,0.33128834355828224,1.9490797546012266,0.05521472392638037,0.3257668711656442,0.0,0.0,0.05521472392638037,0.3257668711656442
Payton Pritchard,BOS,59,59,1659,327,65,100,65.0,12,14,85.7,143,43.7,200,61.2,61,18.7,15,4.6,7,2.1,1.2802893309222423,1.2802893309222423,7.095840867992767,1.410488245931284,2.1699819168173597,1.410488245931284,0.2603978300180832,0.30379746835443033,1.8596745027124775,3.1030741410488245,0.9482820976491864,4.3399638336347195,1.3280289330922244,1.3236889692585896,0.40578661844484626,0.325497287522604,0.09981916817359855,0.15189873417721517,0.04556962025316456
Sam Hauser,BOS,52,52,1185,51,19,27,70.4,4,4,100.0,43,84.3,20,39.2,3,5.9,0,0.0,2,3.9,1.579746835443038,1.579746835443038,1.549367088607595,0.5772151898734177,0.8202531645569621,2.13873417721519,0.12151898734177216,0.12151898734177216,3.0379746835443036,1.3063291139240505,2.561012658227848,0.6075949367088607,1.1908860759493671,0.09113924050632911,0.17924050632911392,0.0,0.0,0.06075949367088608,0.11848101265822784
Torrey Craig,BOS,16,16,183,10,2,3,66.7,0,0,0.0,4,40.0,6,60.0,0,0.0,0,0.0,0,0.0,3.1475409836065573,3.1475409836065573,1.9672131147540983,0.39344262295081966,0.5901639344262295,13.121311475409838,0.0,0.0,0.0,0.7868852459016393,7.868852459016393,1.180327868852459,11.803278688524589,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Tillman,BOS,26,26,200,13,2,5,40.0,0,0,0.0,4,30.8,4,30.8,0,0.0,3,23.1,0,0.0,4.68,4.68,2.34,0.36,0.9,7.2,0.0,0.0,0.0,0.72,5.544,0.72,5.544,0.0,0.0,0.54,4.158,0.0,0.0
Brandon Miller,CHA,8,8,254,59,14,35,40.0,3,6,50.0,32,54.2,14,23.7,4,6.8,5,8.5,3,5.1,1.1338582677165354,1.1338582677165354,8.362204724409448,1.984251968503937,4.960629921259843,5.669291338582677,0.4251968503937008,0.8503937007874016,7.086614173228347,4.535433070866142,7.681889763779528,1.984251968503937,3.359055118110236,0.5669291338582677,0.963779527559055,0.7086614173228346,1.204724409448819,0.4251968503937008,0.7228346456692913
DaQuan Jeffries,CHA,9,9,232,15,3,5,60.0,1,2,50.0,7,46.7,7,46.7,2,13.3,1,6.7,1,6.7,1.396551724137931,1.396551724137931,2.327586206896552,0.46551724137931033,0.7758620689655173,9.310344827586208,0.15517241379310345,0.3103448275862069,7.758620689655172,1.0862068965517242,7.246551724137931,1.0862068965517242,7.246551724137931,0.3103448275862069,2.063793103448276,0.15517241379310345,1.0396551724137932,0.15517241379310345,1.0396551724137932
Damion Baugh,CHA,1,1,29,11,2,5,40.0,0,0,0.0,4,36.4,6,54.5,2,18.2,0,0.0,0,0.0,1.2413793103448276,1.2413793103448276,13.655172413793103,2.4827586206896552,6.206896551724139,49.65517241379311,0.0,0.0,0.0,4.9655172413793105,45.18620689655172,7.448275862068965,67.65517241379311,2.4827586206896552,22.59310344827586,0.0,0.0,0.0,0.0
Grant Williams,CHA,6,6,175,19,2,3,66.7,6,6,100.0,10,52.6,8,42.1,2,10.5,3,15.8,3,15.8,1.2342857142857144,1.2342857142857144,3.9085714285714284,0.4114285714285714,0.6171428571428572,13.721142857142858,1.2342857142857144,1.2342857142857144,20.57142857142857,2.057142857142857,10.82057142857143,1.6457142857142857,8.660571428571428,0.4114285714285714,2.16,0.6171428571428572,3.2502857142857144,0.6171428571428572,3.2502857142857144
Isaiah Wong,CHA,2,2,21,7,1,4,25.0,2,2,100.0,4,57.1,2,28.6,2,28.6,0,0.0,1,14.3,3.4285714285714284,3.4285714285714284,12.0,1.7142857142857142,6.857142857142857,42.857142857142854,3.4285714285714284,3.4285714285714284,171.42857142857142,6.857142857142857,97.88571428571429,3.4285714285714284,49.02857142857143,3.4285714285714284,49.02857142857143,0.0,0.0,1.7142857142857142,24.514285714285716
